,phrases,w1,w2
87842,abandoned plan,abandon,plan
31343,abandoned house,abandon,house
75307,abandoned child,abandon,child
53290,abandoned car,abandon,car
41431,abandoned home,abandon,home
15912,abandoned building,abandon,building
47432,abortion advocate,abortion,advocate
32697,abortion issue,abortion,issue
67275,abortion illegal,abortion,illegal
41997,abortion care,abortion,care
88781,abortion group,abortion,group
51895,abortion overseas,abortion,overseas
50529,abortion policy,abortion,policy
71601,abortion bill,abortion,bill
8853,abortion service,abortion,service
1051,abortion right,abortion,right
17125,abortion giant,abortion,giant
50602,abortion doctor,abortion,doctor
16664,abortion rate,abortion,rate
98866,abortion question,abortion,question
51672,abortion decision,abortion,decision
4139,abortion industry,abortion,industry
79673,abortion per,abortion,per
54286,abortion comment,abortion,comment
18140,abortion ban,abortion,ban
62652,abortion legal,abortion,legal
32299,abortion case,abortion,case
47043,abortion regulation,abortion,regulation
28570,abortion debate,abortion,debate
98446,abortion fund,abortion,fund
53966,abortion coverage,abortion,coverage
71110,abortion without,abortion,without
5914,abortion business,abortion,business
26430,abortion chain,abortion,chain
22681,abortion access,abortion,access
8183,abortion law,abortion,law
56083,abuse treatment,abuse,treatment
27917,abuse problem,abuse,problem
14734,abuse allegation,abuse,allegation
56080,abuse online,abuse,online
18432,abuse case,abuse,case
66526,abuse report,abuse,report
76983,abuse policy,abuse,policy
47027,abuse charge,abuse,charge
15518,abuse victim,abuse,victim
42734,abuse claim,abuse,claim
56658,abuse woman,abuse,woman
67338,abuse within,abuse,within
16068,abuse scandal,abuse,scandal
34148,accepting money,accept,money
20225,accept responsibility,accept,responsibility
60989,accept whatever,accept,whatever
73054,accept money,accept,money
57724,accepting foreign,accept,foreign
99414,accept defeat,accept,defeat
83947,accept new,accept,new
78325,accept full,accept,full
98143,accepting application,accept,application
95836,accept people,accept,people
19690,accept foreign,accept,foreign
81369,accepting cash,accept,cash
85419,accepting new,accept,new
98890,accept federal,accept,federal
94332,accept le,accept,le
27960,accepting refugee,accept,refugee
64259,accepting payment,accept,payment
41810,accepting donation,accept,donation
48228,accept payment,accept,payment
75301,accept politician,accept,politician
59165,accepting gift,accept,gift
79896,accept donation,accept,donation
34841,accept refugee,accept,refugee
67071,acceptable form,acceptable,form
94727,acceptable political,acceptable,political
41041,acceptable behavior,acceptable,behavior
79712,acceptable level,acceptable,level
76773,acceptable way,acceptable,way
42608,accepted responsibility,accepted,responsibility
93949,accepted practice,accepted,practice
21210,accepted donation,accepted,donation
47497,accepted money,accepted,money
54272,accepted medical,accepted,medical
98207,access issue,access,issue
54205,access information,access,information
25650,access road,access,road
23827,access point,access,point
22683,access program,access,program
31320,accident investigation,accident,investigation
77508,accident report,accident,report
99170,accident last,accident,last
25811,accident happened,accident,happen
58761,accident caused,accident,cause
24094,accident occurred,accident,occur
23032,accident involving,accident,involve
76542,accident scene,accident,scene
93783,account opened,account,open
45853,account since,account,since
97798,account private,account,private
46413,account called,account,call
25952,account information,account,information
90724,account run,account,run
61542,account suspended,account,suspend
78529,account showed,account,show
69267,account last,account,last
74771,account published,account,publish
70455,account set,account,set
64217,account given,account,give
34092,account show,account,show
13956,account without,account,without
22930,account posted,account,post
62389,account used,account,use
42446,account tweeted,account,tweet
60961,accurate way,accurate,way
61323,accurate picture,accurate,picture
60470,accurate statement,accurate,statement
79203,accurate result,accurate,result
57140,accurate data,accurate,data
11517,accurate information,accurate,information
15773,accused student,accuse,student
93887,accused police,accuse,police
18486,accused former,accuse,former
32687,accused killer,accuse,killer
91670,across eastern,across,eastern
35715,across racial,across,racial
92493,across platform,across,platform
53647,across industry,across,industry
76371,across country,across,country
87883,across international,across,international
9020,across town,across,town
61623,across culture,across,culture
41259,across various,across,various
86795,across region,across,region
11688,across multiple,across,multiple
11062,across border,across,border
87082,across political,across,political
28453,across campus,across,campus
61081,across time,across,time
18231,across several,across,several
3403,across state,across,state
99199,across age,across,age
12209,across party,across,party
72981,across something,across,something
69866,across government,across,government
59020,across generation,across,generation
93216,across race,across,race
36692,across every,across,every
82435,across large,across,large
6651,across social,across,social
74461,across part,across,part
78579,across national,across,national
28851,across different,across,different
91901,across sport,across,sport
4688,acting attorney,act,attorney
12043,acting career,act,career
44008,act independently,act,independently
44891,act within,act,within
13032,acting president,act,president
41405,acting chief,act,chief
37523,acting head,act,head
44266,acting award,act,award
80198,acting within,act,within
26026,acting assistant,act,assistant
87633,acting skill,act,skill
87721,acting nomination,act,nomination
76894,acting class,act,class
4863,act together,act,together
88758,acting performance,act,performance
13141,act quickly,act,quickly
68130,act immediately,act,immediately
20495,act without,act,without
76584,acting aggressively,act,aggressively
75059,acting role,act,role
22202,acting deputy,act,deputy
35842,act committed,act,commit
38700,act fast,act,fast
35815,act upon,act,upon
82458,acting job,act,job
5880,acting director,act,director
27863,acting nominee,act,nominee
21852,action film,action,film
2846,action committee,action,committee
41398,action speak,action,speak
12070,action figure,action,figure
47925,action came,action,come
47065,action come,action,come
56402,action must,action,must
59121,action show,action,show
32685,action suit,action,suit
94468,action case,action,case
30055,action today,action,today
19869,action star,action,star
73048,action immediately,action,immediately
55796,action last,action,last
87062,action set,action,set
36186,action scene,action,scene
61281,action regarding,action,regard
29238,action since,action,since
62193,action group,action,group
12929,action plan,action,plan
80042,action following,action,follow
52844,action program,action,program
35652,action based,action,base
40337,action without,action,without
87758,action led,action,lead
92887,action rather,action,rather
35194,action toward,action,toward
77036,action around,action,around
12701,action lawsuit,action,lawsuit
9263,action movie,action,movie
78893,active step,active,step
57817,active service,active,service
62691,active military,active,military
84169,active conflict,active,conflict
5468,active user,active,user
93577,active supporter,active,supporter
8544,active member,active,member
35128,active case,active,case
64332,active judge,active,judge
81300,active support,active,support
23501,active measure,active,measure
55386,active management,active,management
5597,active role,active,role
73124,active effort,active,effort
13066,active investigation,active,investigation
96155,active terrorist,active,terrorist
32742,active protection,active,protection
67532,active part,active,part
66694,active lifestyle,active,lifestyle
34809,active player,active,player
52809,activist movement,activist,movement
74924,activist working,activist,work
52778,activist across,activist,across
17921,activist organization,activist,organization
86208,activist feel,activist,feel
38916,activist gathered,activist,gather
79706,activist started,activist,start
39414,activist judge,activist,judge
1594,activist group,activist,group
92185,activist leader,activist,leader
97334,activist fighting,activist,fight
70033,activist base,activist,base
6397,activist investor,activist,investor
59393,activist want,activist,want
97191,activity included,activity,include
44373,activity since,activity,since
66611,activity involving,activity,involve
36518,activity around,activity,around
42006,activity level,activity,level
55623,activity without,activity,without
53992,activity within,activity,within
87960,activity online,activity,online
67051,activity outside,activity,outside
80434,activity among,activity,among
76809,activity inside,activity,inside
37937,activity related,activity,related
46678,activity along,activity,along
38393,activity across,activity,across
21513,actor playing,actor,play
62422,actor added,actor,add
68938,actor including,actor,include
71736,actor best,actor,best
86881,actor involved,actor,involve
32318,actor gained,actor,gain
42536,actually reduce,actually,reduce
20858,actually occurred,actually,occur
70205,actually died,actually,die
97922,actually lose,actually,lose
14148,actually come,actually,come
98462,actually giving,actually,give
85135,actually thinking,actually,think
21160,actually happen,actually,happen
60665,actually became,actually,become
75080,actually call,actually,call
60165,actually playing,actually,play
69171,actually save,actually,save
29504,actually worked,actually,work
85415,actually let,actually,let
75052,actually discussed,actually,discuss
85493,actually grown,actually,grown
85496,actually buy,actually,buy
85598,actually offer,actually,offer
61105,actually putting,actually,put
81653,actually cover,actually,cover
28422,actually voted,actually,vote
21629,actually helped,actually,help
21666,actually seen,actually,see
21685,actually started,actually,start
21206,actually vote,actually,vote
38899,actually cause,actually,cause
19491,actually exist,actually,exist
38771,actually stop,actually,stop
28340,actually matter,actually,matter
2600,actually get,actually,get
83419,actually brought,actually,brought
83485,actually moving,actually,move
83063,actually played,actually,played
19231,actually live,actually,live
75551,actually helping,actually,help
11035,actually win,actually,win
57305,actually ended,actually,end
31910,actually running,actually,run
34327,actually lost,actually,lose
20265,actually came,actually,come
84118,actually written,actually,write
7731,actually believe,actually,believe
56319,actually meant,actually,meant
13903,actually feel,actually,feel
91669,actually worse,actually,bad
21793,actually run,actually,run
59632,actually listen,actually,listen
20354,actually really,actually,really
28082,actually start,actually,start
20414,actually trying,actually,try
6972,actually quite,actually,quite
43036,actually understand,actually,understand
7819,actually see,actually,see
56708,actually hold,actually,hold
69406,actually affect,actually,affect
36503,actually declined,actually,decline
84589,actually established,actually,establish
83140,actually possible,actually,possible
84185,actually killed,actually,kill
20631,actually become,actually,become
86489,actually govern,actually,govern
54305,actually seems,actually,seem
48978,actually follow,actually,follow
89216,actually worth,actually,worth
89214,actually fighting,actually,fight
49384,actually bring,actually,bring
4697,actually happened,actually,happen
88944,actually answer,actually,answer
33358,actually called,actually,call
88616,actually spoke,actually,spoke
44470,actually asked,actually,ask
50272,actually play,actually,play
44391,actually cost,actually,cost
4945,actually work,actually,work
23868,actually pay,actually,pay
50522,actually provide,actually,provide
23848,actually hurt,actually,hurt
89247,actually cast,actually,cast
72402,actually turned,actually,turn
89550,actually seemed,actually,seem
89689,actually share,actually,share
91642,actually move,actually,move
26439,actually create,actually,create
46032,actually spent,actually,spent
26115,actually wanted,actually,want
26082,actually use,actually,use
26069,actually increase,actually,increase
30869,actually give,actually,give
72837,actually committed,actually,commit
72818,actually open,actually,open
90576,actually buying,actually,buying
38012,actually set,actually,set
48003,actually fell,actually,fell
4233,actually want,actually,want
89793,actually serve,actually,serve
48212,actually deliver,actually,deliver
99895,actually begin,actually,begin
95615,actually broke,actually,broke
72231,actually sent,actually,sent
74000,actually le,actually,le
86984,actually keep,actually,keep
13166,actually getting,actually,get
11501,actually done,actually,do
22659,actually talk,actually,talk
86751,actually needed,actually,need
27479,actually good,actually,good
27490,actually wrote,actually,write
27502,actually lead,actually,lead
43903,actually lived,actually,live
43869,actually stand,actually,stand
37063,actually talking,actually,talk
22345,actually thought,actually,thought
54027,actually seeing,actually,see
70635,actually remember,actually,remember
33165,actually saw,actually,saw
52396,actually find,actually,find
52334,actually gave,actually,give
87162,actually paid,actually,paid
44085,actually met,actually,met
33283,actually try,actually,try
3082,actually think,actually,think
44212,actually something,actually,something
51382,actually involved,actually,involve
74130,actually born,actually,born
71694,actually part,actually,part
97304,actually led,actually,lead
54410,actually using,actually,use
23273,actually change,actually,change
87574,actually calling,actually,call
87557,actually life,actually,life
74269,actually afford,actually,afford
5365,actually help,actually,help
11642,actually happening,actually,happen
37318,actually found,actually,found
74305,actually tell,actually,tell
71610,actually given,actually,give
76128,actually far,actually,far
20979,actually belief,actually,belief
35116,actually tried,actually,try
64687,actually moved,actually,move
17342,actually need,actually,need
94214,actually appears,actually,appear
63555,actually heard,actually,heard
78162,actually lower,actually,low
79074,actually ever,actually,ever
63566,actually caused,actually,cause
67755,actually pas,actually,pa
64927,actually winning,actually,win
35236,actually show,actually,show
64364,actually improve,actually,improve
32793,actually love,actually,love
80816,actually already,actually,already
42110,actually true,actually,true
78489,actually carried,actually,carry
79915,actually built,actually,built
80913,actually hear,actually,hear
42318,actually benefit,actually,benefit
17039,actually read,actually,read
80133,actually created,actually,create
28574,actually kind,actually,kind
63223,actually felt,actually,felt
32283,actually support,actually,support
16403,actually pretty,actually,pretty
63380,actually ran,actually,ran
41973,actually better,actually,well
63148,actually trade,actually,trade
17082,actually put,actually,put
98662,actually hit,actually,hit
80018,actually stood,actually,stood
80009,actually build,actually,build
67234,actually living,actually,living
68136,actually cut,actually,cut
9564,actually mean,actually,mean
42281,actually changed,actually,change
35171,actually began,actually,begin
66994,actually owned,actually,own
67605,actually showed,actually,show
63933,actually enjoy,actually,enjoy
30388,actually working,actually,work
17420,actually care,actually,care
66834,actually received,actually,receive
17404,actually increased,actually,increase
66961,actually meet,actually,meet
81031,actually fit,actually,fit
16682,actually used,actually,use
67627,actually beat,actually,beat
41940,actually end,actually,end
99166,actually teach,actually,teach
80406,ad rate,ad,rate
29946,ad released,ad,release
27694,ad attacking,ad,attack
2885,ad campaign,ad,campaign
81642,ad break,ad,break
57159,ad show,ad,show
5908,ad buy,ad,buy
34334,ad targeting,ad,target
52320,ad showing,ad,show
14836,ad dollar,ad,dollar
10384,ad sale,ad,sale
95572,ad called,ad,call
76391,ad last,ad,last
21193,ad spending,ad,spending
49663,ad market,ad,market
70508,ad featured,ad,feature
47180,ad blocking,ad,block
60359,ad budget,ad,budget
86379,ad run,ad,run
66966,ad read,ad,read
51676,ad offering,ad,offering
84580,ad came,ad,come
28396,ad business,ad,business
60454,ad platform,ad,platform
4222,ad revenue,ad,revenue
80888,ad time,ad,time
80407,ad based,ad,base
67328,ad begin,ad,begin
60676,ad product,ad,product
35943,ad feature,ad,feature
80113,ad promoting,ad,promote
95196,ad space,ad,space
93770,ad man,ad,man
59408,ad network,ad,network
9585,ad agency,ad,agency
89582,ad spend,ad,spend
90696,ad firm,ad,firm
34101,added fuel,add,fuel
29729,add value,add,value
78166,added security,add,security
72623,add fuel,add,fuel
17284,add new,add,new
93712,add job,add,job
36708,added new,add,new
68426,added time,add,time
4301,add another,add,another
70818,added job,add,job
20438,add insult,add,insult
9787,added another,add,another
63799,add nothing,add,nothing
90695,add anything,add,anything
16922,added pressure,add,pressure
16989,adding another,add,another
51566,added value,add,value
46385,adding job,add,job
10883,added sugar,add,sugar
92295,add additional,add,additional
48405,add something,add,something
8142,added later,add,later
18386,added benefit,add,benefit
76744,add extra,add,extra
20915,adding new,add,new
17041,adding later,add,later
40755,added cost,add,cost
91098,addiction crisis,addiction,crisis
20323,addiction treatment,addiction,treatment
89083,addiction problem,addiction,problem
39822,additional protection,additional,protection
65073,additional change,additional,change
55965,additional job,additional,job
31685,additional scrutiny,additional,scrutiny
11263,additional security,additional,security
27629,additional comment,additional,comment
55083,additional action,additional,action
51897,additional name,additional,name
41506,additional training,additional,training
41376,additional interview,additional,interview
30895,additional money,additional,money
51637,additional legal,additional,legal
74460,additional request,additional,request
25820,additional time,additional,time
33213,additional evidence,additional,evidence
45445,additional reporting,additional,reporting
16629,additional email,additional,email
39339,additional measure,additional,measure
27352,additional research,additional,research
37458,additional screening,additional,screen
85437,additional cash,additional,cash
5826,additional detail,additional,detail
29669,additional tax,additional,tax
71906,additional spending,additional,spending
22227,additional sanction,additional,sanction
84819,additional data,additional,data
97622,additional threat,additional,threat
73314,additional immigration,additional,immigration
22000,additional troop,additional,troop
97681,additional investigation,additional,investigation
70487,additional document,additional,document
85940,additional material,additional,material
90395,additional power,additional,power
50701,additional reason,additional,reason
95872,additional count,additional,count
23458,additional step,additional,step
65148,additional investment,additional,investment
70072,additional risk,additional,risk
2602,additional information,additional,information
36300,additional support,additional,support
16098,additional funding,additional,funding
57067,additional attack,additional,attack
80514,additional tool,additional,tool
17606,additional resource,additional,resource
69716,additional help,additional,help
42957,additional case,additional,case
65515,additional delegate,additional,delegate
57622,additional challenge,additional,challenge
48747,additional people,additional,people
95652,additional testing,additional,test
56840,additional benefit,additional,benefit
48604,additional police,additional,police
69594,additional federal,additional,federal
42672,additional revenue,additional,revenue
68145,additional state,additional,state
69593,additional agent,additional,agent
37894,additional way,additional,way
30471,additional question,additional,question
75700,additional problem,additional,problem
18730,additional charge,additional,charge
61797,additional country,additional,country
69035,additional financial,additional,financial
76349,additional staff,additional,staff
48552,additional pressure,additional,pressure
47461,additional officer,additional,officer
30619,additional fund,additional,fund
78665,additional income,additional,income
62741,additional medical,additional,medical
20587,additional cost,additional,cost
49294,additional fee,additional,fee
44656,additional crime,additional,crime
39962,additional work,additional,work
85853,addressed concern,address,concern
10900,address climate,address,climate
64790,address global,address,global
60718,address racial,address,racial
45114,address book,address,book
96711,address specific,address,specific
91803,address immigration,address,immigration
82622,address current,address,current
94553,addressed whether,address,whether
75939,address system,address,system
34573,address last,address,last
96018,addressed quickly,address,quickly
54933,address problem,address,problem
23485,address question,address,question
15385,address concern,address,concern
26624,address whether,address,whether
41948,addressed reporter,address,reporter
92593,address used,address,use
98741,addressed directly,address,directly
99672,address listed,address,list
22929,address issue,address,issue
38266,address conflict,address,conflict
88682,administration ever,administration,ever
59238,administration hope,administration,hope
70310,administration effort,administration,effort
69574,administration regulation,administration,regulation
73100,administration cannot,administration,cannot
92344,administration move,administration,move
53457,administration begin,administration,begin
40602,administration asked,administration,ask
58804,administration without,administration,without
83084,administration responded,administration,respond
35602,administration belief,administration,belief
73316,administration think,administration,think
82845,administration aide,administration,aide
59777,administration face,administration,face
73578,administration launched,administration,launch
92711,administration started,administration,start
87471,administration pushed,administration,push
8301,administration want,administration,want
64191,administration offered,administration,offer
33245,administration need,administration,need
45522,administration spent,administration,spent
61592,administration came,administration,come
40804,administration imposed,administration,impose
20839,administration tried,administration,try
75946,administration faced,administration,face
97393,administration requested,administration,request
8168,administration announced,administration,announce
18433,administration must,administration,must
30380,administration failed,administration,fail
52403,administration sought,administration,sought
49756,administration recently,administration,recently
89729,administration paid,administration,paid
15100,administration issued,administration,issue
35877,administration appears,administration,appear
87661,administration denied,administration,deny
94989,administration turned,administration,turn
63832,administration considered,administration,consider
48277,administration get,administration,get
84715,administration really,administration,really
69497,administration rule,administration,rule
75608,administration see,administration,see
25941,administration used,administration,use
95927,administration continued,administration,continued
12119,administration plan,administration,plan
85095,administration signed,administration,sign
5926,administration policy,administration,policy
72247,administration post,administration,post
21589,administration put,administration,put
24525,administration decided,administration,decide
84069,administration supported,administration,support
39032,administration sent,administration,sent
76613,administration already,administration,already
78804,administration give,administration,give
55048,administration position,administration,position
54627,administration claimed,administration,claimed
57042,administration wanted,administration,want
27787,administration began,administration,begin
80409,administration conducted,administration,conduct
49077,administration set,administration,set
33128,administration come,administration,come
55224,administration seemed,administration,seem
44399,administration last,administration,last
64967,administration figure,administration,figure
97880,administration combined,administration,combine
73381,administration allowed,administration,allow
27050,administration claim,administration,claim
99352,administration member,administration,member
84211,administration rejected,administration,reject
75500,administration ended,administration,end
56211,administration building,administration,building
48915,administration refused,administration,refuse
15544,administration seems,administration,seem
43699,administration job,administration,job
45970,administration helped,administration,help
70261,administration gave,administration,give
24986,administration since,administration,since
50885,administration beyond,administration,beyond
24942,administration released,administration,release
104,administration official,administration,official
46684,administration lawyer,administration,lawyer
57870,administration source,administration,source
92473,administration try,administration,try
73544,administration reportedly,administration,reportedly
84425,administration worked,administration,work
58622,administration initially,administration,initially
58147,administration created,administration,create
24748,admission officer,admission,officer
19619,admission policy,admission,policy
78994,admission since,admission,since
23430,admission process,admission,process
56665,admission decision,admission,decision
79676,admission office,admission,office
35617,admission program,admission,program
78319,adopted similar,adopt,similar
58690,adopt new,adopt,new
77825,adopted policy,adopt,policy
21097,adopted home,adopt,home
48340,adopted daughter,adopt,daughter
54253,adopt child,adopt,child
89759,adopted new,adopt,new
78009,adopted country,adopt,country
57335,adopted brother,adopt,brother
22634,adopted child,adopt,child
32268,adopted son,adopt,son
24945,adult without,adult,without
89769,adult use,adult,use
4991,adult son,adult,son
2104,adult life,adult,life
33301,adult woman,adult,woman
24959,adult age,adult,age
26872,adult population,adult,population
63058,adult court,adult,court
85476,adult living,adult,living
61749,adult female,adult,female
30552,adult men,adult,men
3009,adult child,adult,child
54017,adult content,adult,content
97577,adult man,adult,man
13161,adult film,adult,film
55998,adult around,adult,around
14116,adult male,adult,male
77820,adult citizen,adult,citizen
40627,adult daughter,adult,daughter
84901,advance conservative,advance,conservative
76659,advance policy,advance,policy
90715,advance legislation,advance,legislation
52690,advance team,advance,team
19528,advance toward,advance,toward
58122,advance towards,advance,towards
38599,advance warning,advance,warn
54605,advertising rate,advertising,rate
19733,advertising dollar,advertising,dollar
16301,advertising agency,advertising,agency
23632,advertising industry,advertising,industry
85058,advertising platform,advertising,platform
95656,advertising market,advertising,market
77742,advertising budget,advertising,budget
31731,advertising business,advertising,business
51863,advertising firm,advertising,firm
56612,advertising company,advertising,company
6902,advertising campaign,advertising,campaign
63924,advertising network,advertising,network
36367,advertising executive,advertising,executive
49206,advertising sale,advertising,sale
4437,advertising revenue,advertising,revenue
86181,adviser want,adviser,want
69930,adviser role,adviser,role
96809,adviser close,adviser,close
91171,adviser suggested,adviser,suggest
92467,adviser position,adviser,position
85512,adviser believe,adviser,believe
3737,advisory board,advisory,board
19633,advisory role,advisory,role
87370,advisory body,advisory,body
10055,advisory committee,advisory,committee
13113,advisory firm,advisory,firm
63474,advisory opinion,advisory,opinion
16701,advisory group,advisory,group
26532,advisory panel,advisory,panel
5718,advisory council,advisory,council
33184,advisory team,advisory,team
41348,advocacy director,advocacy,director
53479,advocacy work,advocacy,work
3766,advocacy organization,advocacy,organization
99092,advocacy effort,advocacy,effort
220,advocacy group,advocacy,group
88999,advocate violence,advocate,violence
92391,advocate consider,advocate,consider
93210,advocate hope,advocate,hope
80392,advocate believe,advocate,believe
83591,advocate across,advocate,across
79513,advocate fear,advocate,fear
97984,advocate want,advocate,want
90716,advocate see,advocate,see
52311,affair director,affair,director
35901,affair officer,affair,officer
27879,affair committee,affair,committee
46520,affair office,affair,office
36740,affair minister,affair,minister
89038,affect public,affect,public
28379,affect woman,affect,woman
81060,affect everything,affect,everything
42745,affect national,affect,national
34627,affect every,affect,every
94448,affect future,affect,future
51446,affect everyone,affect,everyone
81523,affect anyone,affect,anyone
10216,affect people,affect,people
91472,affect black,affect,black
94025,affect individual,affect,individual
75396,affect minority,affect,minority
57320,affected user,affected,user
91635,affected child,affected,child
5668,affected area,affected,area
70938,affected community,affected,community
8596,affected country,affected,country
62743,affected people,affected,people
53487,affected region,affected,region
97614,affected employee,affected,employee
40486,afford insurance,afford,insurance
26078,afford health,afford,health
75436,afford college,afford,college
44550,afford another,afford,another
75040,affordable care,affordable,care
35592,affordable unit,affordable,unit
23648,affordable coverage,affordable,coverage
53928,affordable healthcare,affordable,healthcare
84341,affordable access,affordable,access
1425,affordable housing,affordable,housing
49759,affordable price,affordable,price
57049,affordable option,affordable,option
62632,affordable home,affordable,home
67310,affordable insurance,affordable,insurance
63688,affordable child,affordable,child
6604,affordable health,affordable,health
98634,affordable energy,affordable,energy
29368,afternoon press,afternoon,press
91556,afternoon last,afternoon,last
67931,afternoon campaign,afternoon,campaign
66806,afternoon rally,afternoon,rally
57147,afternoon trading,afternoon,trading
70998,afternoon prayer,afternoon,prayer
43848,afternoon news,afternoon,news
1812,age group,age,group
30569,age limit,age,limit
83725,age well,age,well
56224,age discrimination,age,discrimination
31108,age difference,age,difference
97717,age men,age,men
91775,agency set,agency,set
45244,agency last,agency,last
90206,agency per,agency,per
45483,agency received,agency,receive
73324,agency claimed,agency,claimed
66097,agency executive,agency,executive
38092,agency calling,agency,call
15681,agency responsible,agency,responsible
18153,agency head,agency,head
3320,agency reported,agency,report
70778,agency action,agency,action
27634,agency believe,agency,believe
21813,agency announced,agency,announce
76786,agency began,agency,begin
36712,agency released,agency,release
43411,agency within,agency,within
85312,agency wrote,agency,write
43309,agency since,agency,since
8862,agency official,agency,official
63615,agency policy,agency,policy
84922,agency work,agency,work
36386,agency found,agency,found
28173,agency spokesman,agency,spokesman
95113,agency plan,agency,plan
34470,agency called,agency,call
76558,agency issued,agency,issue
82224,agency record,agency,record
40998,agency employee,agency,employee
81762,agency paying,agency,pay
68581,agency used,agency,use
93236,agency typically,agency,typically
53183,agency staff,agency,staff
27643,agency must,agency,must
50433,agency involved,agency,involve
86927,agency recently,agency,recently
22781,agency fee,agency,fee
66965,agency noted,agency,note
92119,agency regulation,agency,regulation
28869,agency charged,agency,charge
79653,agency use,agency,use
44676,agency rule,agency,rule
24576,agency report,agency,report
92437,agency want,agency,want
72163,agency chief,agency,chief
35178,agency including,agency,include
37367,agency around,agency,around
29845,agency across,agency,across
51549,agency need,agency,need
94307,agency regarding,agency,regard
98884,agenda rather,agenda,rather
8641,agenda item,agenda,item
58817,agenda without,agenda,without
46434,agenda forward,agenda,forward
9259,agent arrested,agent,arrest
41806,agent asked,agent,ask
85409,agent came,agent,come
92077,agent killed,agent,kill
62253,agent face,agent,face
78716,agent seized,agent,seize
80041,agent previously,agent,previously
66416,agent discovered,agent,discover
67647,agent received,agent,receive
45065,agent called,agent,call
86209,agent wrote,agent,write
60108,agent last,agent,last
22798,agent found,agent,found
14880,agent working,agent,work
68948,agent investigating,agent,investigate
40892,aggressive attack,aggressive,attack
43082,aggressive policy,aggressive,policy
40648,aggressive strategy,aggressive,strategy
30307,aggressive use,aggressive,use
30473,aggressive push,aggressive,push
56082,aggressive step,aggressive,step
98920,aggressive attempt,aggressive,attempt
65882,aggressive policing,aggressive,police
16288,aggressive approach,aggressive,approach
9334,aggressive action,aggressive,action
20917,aggressive campaign,aggressive,campaign
99461,aggressive act,aggressive,act
17016,aggressive behavior,aggressive,behavior
48414,aggressive sale,aggressive,sale
87274,aggressive way,aggressive,way
87175,aggressive rhetoric,aggressive,rhetoric
80202,aggressive war,aggressive,war
80479,aggressive enforcement,aggressive,enforcement
70200,aggressive toward,aggressive,toward
53399,aggressive military,aggressive,military
19937,aggressive effort,aggressive,effort
56800,aggressive form,aggressive,form
90688,aggressive marketing,aggressive,marketing
55165,aggressive agenda,aggressive,agenda
73022,aggressive style,aggressive,style
77241,aggressive measure,aggressive,measure
34739,aggressive move,aggressive,move
93405,aggressively pushing,aggressively,push
43691,aggressively pursuing,aggressively,pursue
85422,aggressively pushed,aggressively,push
45833,aggressively pursue,aggressively,pursue
68377,aggressively group,aggressively,group
98885,agreement within,agreement,within
17731,agreement among,agreement,among
77202,agreement last,agreement,last
96244,agreement mean,agreement,mean
20496,agreement signed,agreement,sign
63362,agreement struck,agreement,struck
78582,agreement regarding,agreement,regard
54826,agreement requires,agreement,require
14220,agreement reached,agreement,reach
76406,agreement includes,agreement,include
98230,agreement must,agreement,must
51336,agreement without,agreement,without
99619,aid operation,aid,operation
23191,aid program,aid,program
5710,aid group,aid,group
13750,aid package,aid,package
64596,aid budget,aid,budget
2266,aid worker,aid,worker
12092,aid organization,aid,organization
27990,aid money,aid,money
6927,aid agency,aid,agency
92330,aid official,aid,official
23452,aid delivery,aid,delivery
99795,aide noted,aide,note
59563,aide close,aide,close
74782,aide believe,aide,believe
61576,aide asked,aide,ask
62288,aide added,aide,add
84698,aide called,aide,call
62659,aide including,aide,include
69618,aide familiar,aide,familiar
76469,aide declined,aide,decline
89120,aide tell,aide,tell
62379,aide confirmed,aide,confirm
17583,air right,air,right
27956,air pressure,air,pressure
41439,air around,air,around
15780,air operation,air,operation
1625,air base,air,base
72854,air temperature,air,temperature
16179,air time,air,time
76003,air next,air,next
95510,air disaster,air,disaster
41950,air cover,air,cover
83153,air mass,air,mass
63392,air mission,air,mission
60817,air accident,air,accident
18230,air war,air,war
1429,air pollution,air,pollution
2081,air strike,air,strike
73656,air field,air,field
76770,air service,air,service
1420,air force,air,force
4907,air defense,air,defense
44747,air live,air,live
49253,air space,air,space
5134,air travel,air,travel
3288,air quality,air,quality
5761,air support,air,support
5762,air campaign,air,campaign
4066,air traffic,air,traffic
4875,air power,air,power
87586,air show,air,show
20641,air attack,air,attack
97910,air asset,air,asset
35737,aircraft flying,aircraft,fly
54707,aircraft flew,aircraft,flew
22043,airline passenger,airline,passenger
82082,airline staff,airline,staff
61172,airline executive,airline,executive
64098,airline official,airline,official
39616,airline ticket,airline,ticket
16834,airline employee,airline,employee
52303,airline flight,airline,flight
7022,airline industry,airline,industry
19515,airline pilot,airline,pilot
5238,airport security,airport,security
40365,airport authority,airport,authority
21274,airport official,airport,official
36686,airport employee,airport,employee
36730,airport last,airport,last
41712,airport bombing,airport,bombing
44211,airport police,airport,police
89573,airport bomber,airport,bomber
18766,airport worker,airport,worker
82528,airport outside,airport,outside
15060,airport around,airport,around
59655,airport protest,airport,protest
15290,airport attack,airport,attack
83412,airport nationwide,airport,nationwide
12443,airport across,airport,across
62275,airport staff,airport,staff
52312,airstrikes hit,airstrikes,hit
64853,airstrikes targeting,airstrikes,target
60411,airstrikes killed,airstrikes,kill
