word,start_count,end_count,after,all_words
last,174,405,"['night' 'time' 'summer' 'season' 'fall' 'weekend' 'decade' 'thing' 'name'
 'minute' 'several' 'couple' 'seen' 'spring' 'word' 'major' 'century'
 'election' 'person' 'long' 'remaining' 'quarter' 'forever' 'moment'
 'debate' 'game' 'line' 'place' 'ten' 'winter' 'stand' 'presidential'
 'hour' 'known' 'administration' 'half' 'man' 'point' 'question' 'big'
 'show' 'film' 'visit' 'longer' 'saw' 'full' 'shot' 'hope' 'episode' 'bit'
 'part' 'round' 'best' 'stop' 'call' 'public' 'vote' 'great' 'second'
 'fiscal' 'act' 'president' 'generation' 'count' 'term' 'poll' 'step'
 'press' 'meeting' 'appearance' 'state' 'piece' 'scene' 'opportunity'
 'evening' 'tweet' 'song' 'album' 'possible' 'trip' 'guy' 'spoke' 'played'
 'book' 'fight' 'sentence' 'campaign' 'row' 'conversation' 'war' 'asking'
 'living' 'budget' 'official' 'movie' 'heard' 'people' 'post' 'group'
 'detail' 'hundred' 'appeared' 'message' 'primary' 'reader' 'job' 'voted'
 'news' 'held' 'wish' 'number' 'drop' 'member' 'met' 'significant' 'case'
 'page' 'among' 'race' 'worked' 'general' 'performance' 'effort' 'school'
 'dollar' 'item' 'push' 'political' 'truly' 'note' 'run' 'good' 'real'
 'candidate' 'turn' 'third' 'option' 'true' 'stage' 'event' 'reported'
 'ever' 'used' 'contested' 'speech']",579
studio,7,14,['album' 'audience' 'behind' 'executive' 'apartment' 'system' 'space'],21
opportunity,11,70,['cost' 'came' 'come' 'presented' 'right' 'available' 'across'],81
clothing,6,4,['line' 'store' 'company' 'brand' 'item'],10
grow,15,8,"['stronger' 'old' 'faster' 'older' 'increasingly' 'site' 'marijuana'
 'back' 'food' 'ever' 'together' 'beyond' 'larger']",23
recording,10,11,"['studio' 'device' 'artist' 'obtained' 'released' 'video' 'conversation'
 'equipment']",21
finished,18,6,"['second' 'third' 'fourth' 'product' 'high' 'fifth' 'yet' 'last'
 'speaking' 'tied' 'first' 'good' 'college' 'reading' 'writing' 'playing']",24
remember,17,11,"['thinking' 'anything' 'exactly' 'seeing' 'feeling' 'hearing' 'going'
 'watching' 'whether' 'ever' 'sitting' 'something' 'getting' 'reading'
 'walking' 'thing' 'every']",28
affordable,13,6,"['housing' 'health' 'coverage' 'unit' 'price' 'healthcare' 'option' 'home'
 'child' 'insurance' 'care' 'access' 'energy']",19
reduced,11,8,"['sentence' 'risk' 'immigration' 'cost' 'federal' 'role' 'charge' 'rate'
 'regulation' 'spending' 'number']",19
chemical,18,14,"['weapon' 'attack' 'agent' 'used' 'company' 'reaction' 'plant'
 'engineering' 'found' 'called' 'process' 'gas' 'burn']",32
