,w1,w2,combo,lem1,lem2,phrase
1349,free,exercise,free exercise,free,exercise,free exercise
1356,much,respect,much respect,much,respect,much respect
1369,left,alone,left alone,left,alone,left alone
1377,see,fit,see fit,see,fit,see fit
1396,broad,federal,broad federal,broad,federal,broad federal
1397,federal,rule,federal rule,federal,rule,federal rule
1404,conversion,therapy,conversion therapy,conversion,therapy,conversion therapy
1405,therapy,provider,therapy provider,therapy,provider,therapy provider
1406,provider,anywhere,provider anywhere,provider,anywhere,provider anywhere
1412,senior,staff,senior staff,senior,staff,senior staff
1413,staff,attorney,staff attorney,staff,attorney,staff attorney
1423,group,called,group called,group,called,group called
1439,former,clients,former clients,former,client,former client
1445,jury,decided,jury decided,jury,decided,jury decided
1448,committed,consumer,committed consumer,committed,consumer,committed consumer
1449,consumer,fraud,consumer fraud,consumer,fraud,consumer fraud
1453,claimed,gay,claimed gay,claimed,gay,claimed gay
1454,gay,people,gay people,gay,people,gay people
1458,methods,including,methods including,method,including,method including
1459,including,telling,including telling,including,telling,including telling
1460,telling,participants,telling participants,telling,participant,telling participant
1471,tennis,racquet,tennis racquet,tennis,racquet,tennis racquet
1474,stripping,naked,stripping naked,stripping,naked,stripping naked
1477,group,sessions,group sessions,group,session,group session
1493,latest,state,latest state,latest,state,latest state
1512,minors,last,minors last,minor,last,minor last
1522,city,council,city council,city,council,city council
1527,ordinance,later,ordinance later,ordinance,later,ordinance later
1535,uphill,task,uphill task,uphill,task,uphill task
1539,state,level,state level,state,level,state level
1547,exactly,friendly,exactly friendly,exactly,friendly,exactly friendly
1561,community,centre,community centre,community,centre,community centre
1567,ban,conversion,ban conversion,ban,conversion,ban conversion
1568,conversion,therapy,conversion therapy,conversion,therapy,conversion therapy
1588,growing,opposition,growing opposition,growing,opposition,growing opposition
1594,recent,advances,recent advances,recent,advance,recent advance
1607,conversion,therapy,conversion therapy,conversion,therapy,conversion therapy
1613,gay,rights,gay rights,gay,right,gay right
1621,conversion,therapy,conversion therapy,conversion,therapy,conversion therapy
1641,latest,manifesto,latest manifesto,latest,manifesto,latest manifesto
1644,party,members,party members,party,member,party member
1650,overturning,last,overturning last,overturning,last,overturning last
1654,supreme,court,supreme court,supreme,court,supreme court
1655,court,decision,court decision,court,decision,court decision
1656,decision,legalising,decision legalising,decision,legalising,decision legalising
